"UNICODE" "LATITUDE" "LONGITUDE" "quant" "block"
"1.13.100.209A" -16.40649169 -71.49344091 "2" "8"
"1.13.100.210" -16.40647652 -71.4934952 "2" "8"
"1.13.100.201" -16.40628799 -71.49408402 "2" "8"
"1.13.100.308" -16.40937976 -71.49235039 "2" "11"
"1.13.100.313" -16.40839519 -71.4928197 "2" "12"
"1.13.100.199" -16.40643368 -71.49433515 "2" "8"
"1.13.100.309" -16.40940088 -71.49248763 "2" "11"
"1.13.100.364" -16.40770345 -71.49249349 "2" "13"
"1.13.100.198" -16.40646473 -71.49445862 "2" "8"
"1.13.100.215" -16.40657906 -71.49399736 "2" "8"
"1.13.100.197" -16.40646931 -71.4945741 "2" "8"
"1.13.100.219A" -16.40659801 -71.4943441 "2" "8"
"1.13.100.219B" -16.40659563 -71.4943703 "2" "8"
"1.13.100.220" -16.40661374 -71.49439972 "2" "8"
"1.13.100.219" -16.40665308 -71.494322 "2" "8"
"1.13.100.360" -16.40733656 -71.4926112 "2" "13"
"1.13.100.236" -16.40789926 -71.49310928 "2" "9"
"1.13.100.196" -16.40665205 -71.4945437 "2" "8"
"1.13.100.235" -16.40773541 -71.4931496 "2" "9"
"1.13.100.236B" -16.40797916 -71.49311056 "2" "9"
"1.13.100.224" -16.40680152 -71.49363165 "2" "9"
"1.13.100.252" -16.40864506 -71.49299385 "2" "10"
"1.13.100.253" -16.40871872 -71.49298064 "2" "10"
"1.13.100.236A" -16.40792971 -71.49316068 "2" "9"
"1.13.100.254" -16.40881615 -71.49297622 "2" "10"
"1.13.100.259" -16.40946718 -71.49291837 "2" "10"
"1.13.100.223" -16.40677852 -71.49373216 "2" "9"
"1.13.100.257" -16.40919791 -71.49296643 "2" "10"
"1.13.100.258" -16.40932695 -71.49296056 "2" "10"
"1.13.100.256" -16.40907572 -71.49298499 "2" "10"
"1.13.100.255" -16.40893855 -71.49300736 "2" "10"
"1.13.100.359" -16.40732638 -71.49275934 "2" "13"
"1.13.100.369" -16.40815763 -71.49271651 "2" "13"
"1.13.100.248" -16.40693389 -71.49382983 "2" "9"
"1.13.100.16" -16.40666381 -71.49479764 "2" "1"
"1.13.100.247" -16.40709672 -71.49380827 "2" "9"
"1.13.100.185" -16.40684521 -71.49408621 "2" "7"
"1.13.100.9" -16.40682836 -71.49564842 "2" "1"
